Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2015,December,Unincorporated Vic, Unincorporated Vic,118,
2015,December,Unincorporated Vic,Total,118,
2014,December,1 North West Metro, Banyule,8933,7140.3
2014,December,1 North West Metro, Brimbank,17366,8750
2014,December,1 North West Metro, Darebin,14482,9686.2
2014,December,1 North West Metro, Hobsons Bay,7025,7769.6
2014,December,1 North West Metro, Hume,17761,9285.4
2014,December,1 North West Metro, Maribyrnong,8157,9891.7
2014,December,1 North West Metro, Melbourne,33042,25819.1
2014,December,1 North West Metro, Melton,9828,7600.4
2014,December,1 North West Metro, Moonee Valley,8483,7203.5
2014,December,1 North West Metro, Moreland,12696,7736.8
2014,December,1 North West Metro, Nillumbik,2050,3231.8
2014,December,1 North West Metro, Whittlesea,13590,7232.6
2014,December,1 North West Metro, Wyndham,12977,6439.8
2014,December,1 North West Metro, Yarra,12859,14741.8
2014,December,1 North West Metro,Total,179249,9353.1
2014,December,2 Eastern, Alpine,467,3779.8
2014,December,2 Eastern, Bass Coast,2572,8058.4
2014,December,2 Eastern, Baw Baw,3810,8168.3
2014,December,2 Eastern, Benalla,1164,8375.3
2014,December,2 Eastern, Boroondara,6787,3930.8
2014,December,2 Eastern, East Gippsland,3916,8844.3
2014,December,2 Eastern, Greater Shepparton,7261,11359.7
2014,December,2 Eastern, Indigo,441,2803.2
2014,December,2 Eastern, Knox,9540,6059.7
2014,December,2 Eastern, Latrobe,11883,16029.1
2014,December,2 Eastern, Manningham,4026,3370.8
2014,December,2 Eastern, Mansfield,571,6801.7
2014,December,2 Eastern, Maroondah,7763,6967.3
2014,December,2 Eastern, Mitchell,3289,8415.2
2014,December,2 Eastern, Moira,1423,4890
2014,December,2 Eastern, Monash,9149,4914.9
2014,December,2 Eastern, Murrindindi,671,4902.5
2014,December,2 Eastern, South Gippsland,1201,4210.9
2014,December,2 Eastern, Strathbogie,494,4931.1
2014,December,2 Eastern, Towong,196,3276.5
2014,December,2 Eastern, Wangaratta,2511,9012.3
2014,December,2 Eastern, Wellington,3902,9085.4
2014,December,2 Eastern, Whitehorse,7333,4462.6
2014,December,2 Eastern, Wodonga,3172,8267.1
2014,December,2 Eastern, Yarra Ranges,7055,4642.4
2014,December,2 Eastern,Total,100597,6247.4
2014,December,3 Southern Metro, Bayside,4260,4268.7
2014,December,3 Southern Metro, Cardinia,5595,6352.9
2014,December,3 Southern Metro, Casey,17613,6117
2014,December,3 Southern Metro, Frankston,14902,10942.8
2014,December,3 Southern Metro, Glen Eira,5353,3725.3
2014,December,3 Southern Metro, Greater Dandenong,15962,10492
2014,December,3 Southern Metro, Kingston,9468,6139.7
2014,December,3 Southern Metro, Mornington Peninsula,10443,6672.8
2014,December,3 Southern Metro, Port Phillip,11886,11379.5
2014,December,3 Southern Metro, Stonnington,9609,9074.2
2014,December,3 Southern Metro,Total,105091,7354.8
2014,December,4 Western, Ararat,1018,8806.2
2014,December,4 Western, Ballarat,10221,10229.8
2014,December,4 Western, Buloke,216,3409.6
2014,December,4 Western, Campaspe,2948,7895.4
2014,December,4 Western, Central Goldfields,1097,8514.4
2014,December,4 Western, Colac-Otway,1535,7264.2
2014,December,4 Western, Corangamite,671,4106.5
2014,December,4 Western, Gannawarra,546,5183.2
2014,December,4 Western, Glenelg,1730,8757.3
2014,December,4 Western, Golden Plains,577,2760.9
2014,December,4 Western, Greater Bendigo,8641,8004.3
2014,December,4 Western, Greater Geelong,18522,8132.8
2014,December,4 Western, Hepburn,616,4056.9
2014,December,4 Western, Hindmarsh,228,3901.4
2014,December,4 Western, Horsham,2379,12046.8
2014,December,4 Western, Loddon,531,7067.7
2014,December,4 Western, Macedon Ranges,2089,4594.1
2014,December,4 Western, Mildura,5937,11048.3
2014,December,4 Western, Moorabool,1927,6202.9
2014,December,4 Western, Mount Alexander,1039,5615.9
2014,December,4 Western, Moyne,645,3906.3
2014,December,4 Western, Northern Grampians,936,7947.7
2014,December,4 Western, Pyrenees,451,6399.9
2014,December,4 Western, Queenscliffe,126,4242.4
2014,December,4 Western, Southern Grampians,953,5862.8
2014,December,4 Western, Surf Coast,1411,4886.7
2014,December,4 Western, Swan Hill,2197,10491.9
2014,December,4 Western, Warrnambool,3002,8900.4
2014,December,4 Western, West Wimmera,194,4804.4
2014,December,4 Western, Yarriambiack,355,5127.1
2014,December,4 Western,Total,72738,7750.3
2014,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,955,
2014,December,Justice Institutions and Immigration Facilities,Total,955,
2014,December,Unincorporated Vic, Unincorporated Vic,116,
2014,December,Unincorporated Vic,Total,116,
2013,December,1 North West Metro, Banyule,9512,7651.6
2013,December,1 North West Metro, Brimbank,19338,9857.8
2013,December,1 North West Metro, Darebin,12267,8329.5
2013,December,1 North West Metro, Hobsons Bay,6672,7480.8
2013,December,1 North West Metro, Hume,15313,8283
2013,December,1 North West Metro, Maribyrnong,8514,10671.6
2013,December,1 North West Metro, Melbourne,32477,27358
2013,December,1 North West Metro, Melton,8962,7231.2
2013,December,1 North West Metro, Moonee Valley,7662,6635.8
2013,December,1 North West Metro, Moreland,12057,7522.4
2013,December,1 North West Metro, Nillumbik,2167,3430.2
2013,December,1 North West Metro, Whittlesea,12900,7195.8
2013,December,1 North West Metro, Wyndham,12412,6525.4
2013,December,1 North West Metro, Yarra,11200,13339.4
2013,December,1 North West Metro,Total,171453,9234.7
2013,December,2 Eastern, Alpine,494,4021.8
2013,December,2 Eastern, Bass Coast,2492,7953.8
2013,December,2 Eastern, Baw Baw,3169,6945.4
2013,December,2 Eastern, Benalla,1106,7969.4
2013,December,2 Eastern, Boroondara,7003,4107.7
2013,December,2 Eastern, East Gippsland,3968,9057.5
2013,December,2 Eastern, Greater Shepparton,6416,10144.8
2013,December,2 Eastern, Indigo,516,3306.6
2013,December,2 Eastern, Knox,9267,5927.2
2013,December,2 Eastern, Latrobe,10232,13803.9
2013,December,2 Eastern, Manningham,4097,3461.6
2013,December,2 Eastern, Mansfield,347,4192.8
2013,December,2 Eastern, Maroondah,6814,6206.9
2013,December,2 Eastern, Mitchell,2923,7735.3
2013,December,2 Eastern, Moira,1456,5037.2
2013,December,2 Eastern, Monash,8654,4722.4
2013,December,2 Eastern, Murrindindi,694,5116.9
2013,December,2 Eastern, South Gippsland,1257,4445.9
2013,December,2 Eastern, Strathbogie,521,5280.2
2013,December,2 Eastern, Towong,305,5116.6
2013,December,2 Eastern, Wangaratta,2409,8712.5
2013,December,2 Eastern, Wellington,4096,9587.8
2013,December,2 Eastern, Whitehorse,7099,4379.9
2013,December,2 Eastern, Wodonga,2757,7337.3
2013,December,2 Eastern, Yarra Ranges,6502,4308.8
2013,December,2 Eastern,Total,94594,5943
2013,December,3 Southern Metro, Bayside,4301,4377.5
2013,December,3 Southern Metro, Cardinia,6194,7322.3
2013,December,3 Southern Metro, Casey,15570,5600.3
2013,December,3 Southern Metro, Frankston,14190,10561.9
2013,December,3 Southern Metro, Glen Eira,5973,4228.4
2013,December,3 Southern Metro, Greater Dandenong,16102,10843
2013,December,3 Southern Metro, Kingston,9316,6115.4
2013,December,3 Southern Metro, Mornington Peninsula,9389,6096.7
2013,December,3 Southern Metro, Port Phillip,11170,10934.3
2013,December,3 Southern Metro, Stonnington,9387,9070.7
2013,December,3 Southern Metro,Total,101592,7272.4
2013,December,4 Western, Ararat,1308,11383.8
2013,December,4 Western, Ballarat,9982,10150.1
2013,December,4 Western, Buloke,218,3412.6
2013,December,4 Western, Campaspe,2622,7045.9
2013,December,4 Western, Central Goldfields,1041,8123.3
2013,December,4 Western, Colac-Otway,1336,6351.3
2013,December,4 Western, Corangamite,619,3772.1
2013,December,4 Western, Gannawarra,536,5092.2
2013,December,4 Western, Glenelg,1479,7470.8
2013,December,4 Western, Golden Plains,518,2544
2013,December,4 Western, Greater Bendigo,8775,8281.7
2013,December,4 Western, Greater Geelong,16620,7441
2013,December,4 Western, Hepburn,593,3947.5
2013,December,4 Western, Hindmarsh,241,4118.3
2013,December,4 Western, Horsham,1791,9094.1
2013,December,4 Western, Loddon,376,5001.3
2013,December,4 Western, Macedon Ranges,1810,4058.8
2013,December,4 Western, Mildura,5566,10471.1
2013,December,4 Western, Moorabool,1860,6116.4
2013,December,4 Western, Mount Alexander,962,5272.1
2013,December,4 Western, Moyne,551,3353.4
2013,December,4 Western, Northern Grampians,1974,16616.2
2013,December,4 Western, Pyrenees,412,5938.3
2013,December,4 Western, Queenscliffe,80,2664.9
2013,December,4 Western, Southern Grampians,1138,6958.1
2013,December,4 Western, Surf Coast,1197,4240.5
2013,December,4 Western, Swan Hill,1752,8341.7
2013,December,4 Western, Warrnambool,2540,7599.6
2013,December,4 Western, West Wimmera,146,3540.3
2013,December,4 Western, Yarriambiack,312,4436.9
2013,December,4 Western,Total,68355,7376.9
2013,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1337,
2013,December,Justice Institutions and Immigration Facilities,Total,1337,
2013,December,Unincorporated Vic, Unincorporated Vic,71,
2013,December,Unincorporated Vic,Total,71,
2012,December,1 North West Metro, Banyule,7243,5860.8
2012,December,1 North West Metro, Brimbank,18464,9528.6
2012,December,1 North West Metro, Darebin,11524,7948.4
2012,December,1 North West Metro, Hobsons Bay,6921,7834.6
2012,December,1 North West Metro, Hume,15349,8565.2
2012,December,1 North West Metro, Maribyrnong,8996,11656
2012,December,1 North West Metro, Melbourne,34757,32308.7
2012,December,1 North West Metro, Melton,8453,7143.6
2012,December,1 North West Metro, Moonee Valley,8471,7452.1
2012,December,1 North West Metro, Moreland,11778,7503.5
2012,December,1 North West Metro, Nillumbik,1813,2880.7
2012,December,1 North West Metro, Whittlesea,12217,7186.8
2012,December,1 North West Metro, Wyndham,13031,7274.6
2012,December,1 North West Metro, Yarra,10828,13323.8
2012,December,1 North West Metro,Total,169845,9451.9
2012,December,2 Eastern, Alpine,405,3324.3
2012,December,2 Eastern, Bass Coast,2256,7322.1
2012,December,2 Eastern, Baw Baw,2775,6235.1
2012,December,2 Eastern, Benalla,905,6534.8
2012,December,2 Eastern, Boroondara,6842,4060.9
2012,December,2 Eastern, East Gippsland,3196,7376.1
2012,December,2 Eastern, Greater Shepparton,6050,9670.4
2012,December,2 Eastern, Indigo,485,3138.3
2012,December,2 Eastern, Knox,8734,5620.1
2012,December,2 Eastern, Latrobe,9859,13322.3
2012,December,2 Eastern, Manningham,3693,3144.6
2012,December,2 Eastern, Mansfield,320,3952.1
2012,December,2 Eastern, Maroondah,6553,6043.3
2012,December,2 Eastern, Mitchell,2573,7071.8
2012,December,2 Eastern, Moira,1274,4442.9
2012,December,2 Eastern, Monash,8929,4952
2012,December,2 Eastern, Murrindindi,608,4518.4
2012,December,2 Eastern, South Gippsland,1188,4254.1
2012,December,2 Eastern, Strathbogie,486,4987.7
2012,December,2 Eastern, Towong,270,4545.5
2012,December,2 Eastern, Wangaratta,2306,8404.4
2012,December,2 Eastern, Wellington,3624,8538.1
2012,December,2 Eastern, Whitehorse,7112,4454.4
2012,December,2 Eastern, Wodonga,3311,9007.6
2012,December,2 Eastern, Yarra Ranges,6571,4384.6
2012,December,2 Eastern,Total,90325,5741.6
2012,December,3 Southern Metro, Bayside,4312,4446.7
2012,December,3 Southern Metro, Cardinia,5016,6237.1
2012,December,3 Southern Metro, Casey,15014,5576.4
2012,December,3 Southern Metro, Frankston,13469,10188.8
2012,December,3 Southern Metro, Glen Eira,5515,3964.3
2012,December,3 Southern Metro, Greater Dandenong,14960,10309
2012,December,3 Southern Metro, Kingston,9319,6194.7
2012,December,3 Southern Metro, Mornington Peninsula,9342,6158.2
2012,December,3 Southern Metro, Port Phillip,10970,10981.8
2012,December,3 Southern Metro, Stonnington,8709,8587.9
2012,December,3 Southern Metro,Total,96626,7071.1
2012,December,4 Western, Ararat,1176,10315.8
2012,December,4 Western, Ballarat,9543,9865.8
2012,December,4 Western, Buloke,309,4802.6
2012,December,4 Western, Campaspe,2622,7078.6
2012,December,4 Western, Central Goldfields,956,7519.3
2012,December,4 Western, Colac-Otway,1420,6793.6
2012,December,4 Western, Corangamite,827,5021.3
2012,December,4 Western, Gannawarra,527,5020
2012,December,4 Western, Glenelg,1332,6718.8
2012,December,4 Western, Golden Plains,489,2494.4
2012,December,4 Western, Greater Bendigo,7206,6935.2
2012,December,4 Western, Greater Geelong,15975,7289.5
2012,December,4 Western, Hepburn,687,4634.1
2012,December,4 Western, Hindmarsh,246,4200.1
2012,December,4 Western, Horsham,2813,14346.2
2012,December,4 Western, Loddon,391,5193.3
2012,December,4 Western, Macedon Ranges,1644,3753.9
2012,December,4 Western, Mildura,5437,10361.1
2012,December,4 Western, Moorabool,1613,5493.3
2012,December,4 Western, Mount Alexander,840,4653
2012,December,4 Western, Moyne,636,3900.9
2012,December,4 Western, Northern Grampians,911,7610.7
2012,December,4 Western, Pyrenees,310,4519
2012,December,4 Western, Queenscliffe,124,4056.3
2012,December,4 Western, Southern Grampians,1002,6087.1
2012,December,4 Western, Surf Coast,1387,5038.1
2012,December,4 Western, Swan Hill,1797,8569
2012,December,4 Western, Warrnambool,2318,7011.7
2012,December,4 Western, West Wimmera,167,3963
2012,December,4 Western, Yarriambiack,369,5200.8
2012,December,4 Western,Total,65074,7122
2012,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1021,
2012,December,Justice Institutions and Immigration Facilities,Total,1021,
2012,December,Unincorporated Vic, Unincorporated Vic,126,
2012,December,Unincorporated Vic,Total,126,
2011,December,1 North West Metro, Banyule,6781,5513.8
2011,December,1 North West Metro, Brimbank,16887,8818.5
2011,December,1 North West Metro, Darebin,11400,7975.3
2011,December,1 North West Metro, Hobsons Bay,5707,6530.1
2011,December,1 North West Metro, Hume,13930,7992.4
2011,December,1 North West Metro, Maribyrnong,8642,11499.1
2011,December,1 North West Metro, Melbourne,29664,29593
2011,December,1 North West Metro, Melton,7393,6563.2
2011,December,1 North West Metro, Moonee Valley,7240,6453.9
2011,December,1 North West Metro, Moreland,10931,7086.7
2011,December,1 North West Metro, Nillumbik,1996,3182.6
2011,December,1 North West Metro, Whittlesea,10487,6521.8
2011,December,1 North West Metro, Wyndham,11299,6778.1
2011,December,1 North West Metro, Yarra,10437,13227.6
2011,December,1 North West Metro,Total,152794,8767.7
2011,December,2 Eastern, Alpine,357,2958.2
2011,December,2 Eastern, Bass Coast,1970,6516.1
2011,December,2 Eastern, Baw Baw,2217,5109.6
2011,December,2 Eastern, Benalla,925,6694.2
2011,December,2 Eastern, Boroondara,5901,3532.2
2011,December,2 Eastern, East Gippsland,3072,7173.2
2011,December,2 Eastern, Greater Shepparton,5883,9528.1
2011,December,2 Eastern, Indigo,457,2983.6
2011,December,2 Eastern, Knox,7990,5167.3
2011,December,2 Eastern, Latrobe,8530,11560.1
2011,December,2 Eastern, Manningham,4141,3546.9
2011,December,2 Eastern, Mansfield,311,3915.9
2011,December,2 Eastern, Maroondah,5967,5559.9
2011,December,2 Eastern, Mitchell,2590,7377.9
2011,December,2 Eastern, Moira,1515,5333.4
2011,December,2 Eastern, Monash,7423,4185.6
2011,December,2 Eastern, Murrindindi,555,4162
2011,December,2 Eastern, South Gippsland,1032,3751.1
2011,December,2 Eastern, Strathbogie,459,4782.2
2011,December,2 Eastern, Towong,227,3835.8
2011,December,2 Eastern, Wangaratta,2167,7963.4
2011,December,2 Eastern, Wellington,2829,6724.8
2011,December,2 Eastern, Whitehorse,6101,3872.7
2011,December,2 Eastern, Wodonga,2965,8230.4
2011,December,2 Eastern, Yarra Ranges,5981,4016.8
2011,December,2 Eastern,Total,81565,5242.5
2011,December,3 Southern Metro, Bayside,3598,3743.3
2011,December,3 Southern Metro, Cardinia,4233,5582.1
2011,December,3 Southern Metro, Casey,14381,5504
2011,December,3 Southern Metro, Frankston,11516,8834.7
2011,December,3 Southern Metro, Glen Eira,5505,4013.8
2011,December,3 Southern Metro, Greater Dandenong,13901,9777.9
2011,December,3 Southern Metro, Kingston,8585,5788.8
2011,December,3 Southern Metro, Mornington Peninsula,8639,5787.5
2011,December,3 Southern Metro, Port Phillip,11093,11403.6
2011,December,3 Southern Metro, Stonnington,8362,8459
2011,December,3 Southern Metro,Total,89813,6719.5
2011,December,4 Western, Ararat,961,8484.9
2011,December,4 Western, Ballarat,9494,9974.3
2011,December,4 Western, Buloke,314,4856.9
2011,December,4 Western, Campaspe,2247,6096.9
2011,December,4 Western, Central Goldfields,917,7289.9
2011,December,4 Western, Colac-Otway,1371,6591.7
2011,December,4 Western, Corangamite,650,3933.2
2011,December,4 Western, Gannawarra,597,5711.3
2011,December,4 Western, Glenelg,1411,7109
2011,December,4 Western, Golden Plains,382,2015
2011,December,4 Western, Greater Bendigo,6087,5967.9
2011,December,4 Western, Greater Geelong,14545,6738.9
2011,December,4 Western, Hepburn,660,4511.6
2011,December,4 Western, Hindmarsh,219,3739.8
2011,December,4 Western, Horsham,1830,9373.6
2011,December,4 Western, Loddon,435,5764.6
2011,December,4 Western, Macedon Ranges,1418,3306.7
2011,December,4 Western, Mildura,5532,10675
2011,December,4 Western, Moorabool,1305,4551.8
2011,December,4 Western, Mount Alexander,994,5561.8
2011,December,4 Western, Moyne,523,3235
2011,December,4 Western, Northern Grampians,993,8237.9
2011,December,4 Western, Pyrenees,240,3550.8
2011,December,4 Western, Queenscliffe,300,9800.7
2011,December,4 Western, Southern Grampians,1024,6179.5
2011,December,4 Western, Surf Coast,1072,4020.1
2011,December,4 Western, Swan Hill,1825,8746.7
2011,December,4 Western, Warrnambool,2813,8611.1
2011,December,4 Western, West Wimmera,116,2705.9
2011,December,4 Western, Yarriambiack,354,4928.3
2011,December,4 Western,Total,60629,6722.3
2011,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,903,
2011,December,Justice Institutions and Immigration Facilities,Total,903,
2011,December,Unincorporated Vic, Unincorporated Vic,141,
2011,December,Unincorporated Vic,Total,141,
2010,December,1 North West Metro, Banyule,6814,5549.8
2010,December,1 North West Metro, Brimbank,15087,7987
2010,December,1 North West Metro, Darebin,10703,7549
2010,December,1 North West Metro, Hobsons Bay,5587,6407.7
2010,December,1 North West Metro, Hume,13083,7653
2010,December,1 North West Metro, Maribyrnong,8593,11673.2
2010,December,1 North West Metro, Melbourne,31296,32058
2010,December,1 North West Metro, Melton,6112,5720.3
2010,December,1 North West Metro, Moonee Valley,6932,6224.7
2010,December,1 North West Metro, Moreland,10001,6568.3
2010,December,1 North West Metro, Nillumbik,1647,2621
2010,December,1 North West Metro, Whittlesea,9324,6105.7
2010,December,1 North West Metro, Wyndham,9798,6311.1
2010,December,1 North West Metro, Yarra,11195,14273.9
2010,December,1 North West Metro,Total,146172,8585.6
2010,December,2 Eastern, Alpine,401,3317.1
2010,December,2 Eastern, Bass Coast,2089,7087.6
2010,December,2 Eastern, Baw Baw,2012,4779.4
2010,December,2 Eastern, Benalla,960,6937.4
2010,December,2 Eastern, Boroondara,6101,3668.1
2010,December,2 Eastern, East Gippsland,3199,7547.5
2010,December,2 Eastern, Greater Shepparton,5905,9610.5
2010,December,2 Eastern, Indigo,431,2819.4
2010,December,2 Eastern, Knox,7772,5025.8
2010,December,2 Eastern, Latrobe,8042,11004.1
2010,December,2 Eastern, Manningham,3445,2953.1
2010,December,2 Eastern, Mansfield,440,5590.9
2010,December,2 Eastern, Maroondah,6231,5841
2010,December,2 Eastern, Mitchell,2748,8108.1
2010,December,2 Eastern, Moira,1467,5178.1
2010,December,2 Eastern, Monash,8094,4605.9
2010,December,2 Eastern, Murrindindi,640,4805.5
2010,December,2 Eastern, South Gippsland,1175,4324.1
2010,December,2 Eastern, Strathbogie,418,4355.1
2010,December,2 Eastern, Towong,229,3814.1
2010,December,2 Eastern, Wangaratta,2027,7452.2
2010,December,2 Eastern, Wellington,2914,6970.8
2010,December,2 Eastern, Whitehorse,6222,3961.6
2010,December,2 Eastern, Wodonga,2419,6855.2
2010,December,2 Eastern, Yarra Ranges,6206,4179.9
2010,December,2 Eastern,Total,81587,5278.2
2010,December,3 Southern Metro, Bayside,3489,3649.8
2010,December,3 Southern Metro, Cardinia,3981,5542.3
2010,December,3 Southern Metro, Casey,13533,5318.1
2010,December,3 Southern Metro, Frankston,11942,9253.6
2010,December,3 Southern Metro, Glen Eira,5899,4321.1
2010,December,3 Southern Metro, Greater Dandenong,13134,9367.2
2010,December,3 Southern Metro, Kingston,8877,6022.1
2010,December,3 Southern Metro, Mornington Peninsula,8576,5773.5
2010,December,3 Southern Metro, Port Phillip,9890,10262
2010,December,3 Southern Metro, Stonnington,8767,8880
2010,December,3 Southern Metro,Total,88088,6679.8
2010,December,4 Western, Ararat,912,8044.5
2010,December,4 Western, Ballarat,9065,9709.8
2010,December,4 Western, Buloke,319,4817.3
2010,December,4 Western, Campaspe,2938,7946.3
2010,December,4 Western, Central Goldfields,973,7722.2
2010,December,4 Western, Colac-Otway,1487,7130.2
2010,December,4 Western, Corangamite,711,4292.7
2010,December,4 Western, Gannawarra,640,5985.8
2010,December,4 Western, Glenelg,1456,7298.6
2010,December,4 Western, Golden Plains,432,2342.6
2010,December,4 Western, Greater Bendigo,6027,5996.7
2010,December,4 Western, Greater Geelong,14217,6687.7
2010,December,4 Western, Hepburn,729,5006.5
2010,December,4 Western, Hindmarsh,240,4030.9
2010,December,4 Western, Horsham,1773,9143.9
2010,December,4 Western, Loddon,389,5083
2010,December,4 Western, Macedon Ranges,1586,3756.2
2010,December,4 Western, Mildura,5641,10926.9
2010,December,4 Western, Moorabool,1269,4524.5
2010,December,4 Western, Mount Alexander,897,5037.6
2010,December,4 Western, Moyne,591,3674.9
2010,December,4 Western, Northern Grampians,1100,9081.2
2010,December,4 Western, Pyrenees,271,4016
2010,December,4 Western, Queenscliffe,417,13631.9
2010,December,4 Western, Southern Grampians,907,5429.5
2010,December,4 Western, Surf Coast,1222,4725.3
2010,December,4 Western, Swan Hill,2066,9846.5
2010,December,4 Western, Warrnambool,2547,7868.4
2010,December,4 Western, West Wimmera,103,2355.4
2010,December,4 Western, Yarriambiack,328,4485.8
2010,December,4 Western,Total,61253,6856.6
2010,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,855,
2010,December,Justice Institutions and Immigration Facilities,Total,855,
2010,December,Unincorporated Vic, Unincorporated Vic,196,
2010,December,Unincorporated Vic,Total,196,
